DESC PRODUTO;COD BARRAS;COD UNIDADE;VLR CUSTO BRUTO;VLR VENDA 1;QTD ESTOQUE;DATA ALTERACAO;FLG ATIVO;COD EMP
FRUITTELLA DOCE DE LEITE 40G;7895144294483;UN;1,17;1,75;0;15/12/2016;S;1
GARFO STRAW. L.FESTA BRANCO C/50 UN;7898202615206;UN;0;0,01;0;14/12/2016;N;1
GATORADE FRUTAS CITRICAS 500ML;7892840808013;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE LARANJA PET 500ML;7892840808020;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE LIMAO PET 500ML;7892840808037;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE UVA PET 500ML;7892840808051;UND;3,04;4,25;0;13/10/2016;S;1
GOMETS 100GR ANEL DE FRUTAS ACIDAS;7896058505436;UN;0;0,01;0;16/12/2016;N;1
GOMETS 100GR MINHOCAS DE FRUTAS;7896058505450;UN;0;0,01;0;16/12/2016;N;1
GOMETS DORI 100GR SINO;7896058501407;UN;0;0,01;0;16/12/2016;N;1
GUARANA ANTARCTICA PET 2L;7891991001342;UND;3,83;5,75;0;12/10/2016;S;1
GUARD. LUCCA FOLHA DUPLA 22X22CM;7898905277138;UN;0;0,01;0;14/12/2016;N;1
GUARD. RIPZ FOLHA DUPLA 32X33CM;7898905277060;UN;0;0,01;0;14/12/2016;N;1
GUARDANAPO BOMPACK 22X20CM;7898921468978;UN;0;0,01;0;14/12/2016;N;1
GUARDANAPO BOMPACK 30X30CM;7898921469203;UN;0;0,01;0;14/12/2016;N;1
HALLS MELANCIA 34G;7895800308721;UND;0;1,5;0;11/10/2016;S;1
HAMB BOV CG NOVILHO NOBRE ENV 90;7898919783076;UN;0,9;0,01;60;14/12/2016;N;1
HAMB BOV CG PERDIGAO 56G;7891515605797;UN;0,66;0,01;36;14/12/2016;N;1
HAPPYDENT WHITE 13,5G ICE CHERRY;7895144059037;UN;0;0,01;0;15/12/2016;N;1
HAPPYDENT WHITE 13,5G MENTA;7895144059013;UN;0;0,01;0;15/12/2016;N;1
HEINEKEN LATA 350ML;7896045523412;UND;2,75;3,65;0;14/12/2016;S;1
HEINEKEN LN 330ML;78936683;UND;3,18;3,99;0;14/12/2016;S;1
ISQUEIRO BIC MINI CARTELA;070330631328;UN;0;0,01;0;16/12/2016;N;1
ITAIPAVA MALZ LATA 350ML;7897395020194;UND;2,22;3,15;0;14/12/2016;S;1
LACTA AMARO 150G;7622300852474;UND;5,19;6,99;0;20/10/2016;S;1
LACTA AO LEITE 150G;7622300851583;UND;5,19;6,99;0;12/10/2016;S;1
LACTA DIAMANTE NEGRO 150G;7622300851804;UND;5,19;6,99;0;20/10/2016;S;1
LACTA LAKA 150G;7622300851767;UND;5,19;6,99;0;20/10/2016;S;1
LACTA SHOT 155G;7622300851941;UND;5,19;6,99;0;20/10/2016;S;1
LAKA OREO 150G;7622300851392;UND;5,19;6,99;0;12/10/2016;S;1
LEITE AROM CHOCOLEITE 500ML;7896060506087;UN;3,55;0,01;12;14/12/2016;N;1
LEITE AROM CHOCOLEITE 850ML;7896060506063;UN;5,39;7,85;12;14/12/2016;S;1
LEITE AROM CHOCOLEITE ONE WAY 250ML;7896060506469;UN;2,41;0,01;24;14/12/2016;N;1
LEITE COCO NORDESTE VD 200ML;7898370100320;UN;1,98;0,01;24;14/12/2016;N;1
LEITE COCO NORDESTE VD 500ML;7898370100337;UN;4,65;0,01;12;14/12/2016;N;1
LEITE INTEGRAL TIROL 1L;7896256600223;UND;2,15;3,19;0;12/10/2016;S;1
LEITE SEMI DESNATADO TIROL 1L;7896256600230;UND;2,15;3,15;0;12/10/2016;S;1
LIMPA VIDRO BONSAI 500ML C GATILHO;7898922145991;UND;4,21;5,9;0;12/10/2016;S;1
LUVA BOMPACK VERNIZ AZUL G;7898921467131;UN;0;0,01;0;14/12/2016;N;1
LUVA BOMPACK VERNIZ AZUL M;7898921467124;UN;2,89;4,99;0;14/12/2016;S;1
LUVA BOMPACK VERNIZ AZUL M UN;9990000002702;UN;0;0,01;0;14/12/2016;N;1
LUVA BOMPACK VERNIZ AZUL P;7898921467117;UN;0;0,01;0;14/12/2016;N;1
MAIONESE HEINZ FP 215GR;7896102584189;UN;7,51;0,01;4;14/12/2016;N;1
MAIONESE HEINZ FP 390GR;7896102583182;UN;10,29;0,01;4;14/12/2016;N;1
MANDIOCA CG PEDACO SAO JOAO 1KG;7898942944017;UN;5,1;0,01;10;14/12/2016;N;1
MARG QUALY C/SAL 250GR;7893000394117;UN;2,75;0,01;24;14/12/2016;N;1
MARG QUALY C/SAL 500GR;7893000394209;UN;5,05;0,01;12;14/12/2016;N;1
MARG QUALY LIGHT C/SAL500GR;9990000002122;UN;5,45;0,01;12;14/12/2016;N;1
MAS SEMOLA TODESCHINI ESPAGUETE 500G;7896022205775;UN;1,79;0,01;150;14/12/2016;N;1
MAS SEMOLA TODESCHINI PARAFUSO 500GR;7896022206017;UN;1,99;0,01;20;14/12/2016;N;1
MAS SEMOLA TODESCHINI PENNE 500GR;07896022206031;UN;1,99;0,01;20;14/12/2016;N;1
MASSA DE POLIR N 2 PROAUTO 500G;7897520015989;UND;9,72;15,49;0;12/10/2016;S;1
MAX GUARANA 250ML;7896086190000;UND;1,07;1,49;0;12/10/2016;S;1
MAX LARANJINHA 250ML;7896086190024;UND;1,07;1,49;0;12/10/2016;S;1
MENTOS 3 PURE FRESH 8,5G SPEARMINT;7895144892931;UN;0;0,01;0;15/12/2016;N;1
MENTOS 3 PURE FRUIT 8,5G MELANCIA;7895144896502;UN;0;0,01;0;15/12/2016;N;1
MENTOS 3 PURE FRUIT 8,5G MOR/MACA/FRAMB.;7895144899930;UN;0;0,01;0;15/12/2016;N;1
MENTOS 3 WHITE 8,5G TUTTI FRESH;7895144896496;UN;0;0,01;0;15/12/2016;N;1
MENTOS BEATS 35G SORTIDOS;7895144605203;UN;0;0,01;0;15/12/2016;N;1
MENTOS KISS 35G MORANGO;7895144605685;UN;0;0,01;0;15/12/2016;N;1
MENTOS PURE FRESH 29G SPEARMINT LATA VERDE;7895144404332;UN;0;0,01;0;15/12/2016;N;1
MENTOS PURE FRESH 56G CHERRY GFA.ROSA;7895144294490;UN;0;0,01;0;15/12/2016;N;1
MENTOS PURE FRESH/WHITE 240G INDIVIDUAIS MISTO;7895144080338;UN;0;0,01;0;15/12/2016;N;1
MENTOS PURE FRESH/WHITE INDIVIDUAIS MISTO;7895144080239;UN;7,6;0,01;3;13/12/2016;N;1
MENTOS PURE FRUIT INDIVIDUAIS MISTO;7895144203737;UN;0,13;0,01;120;13/12/2016;S;1
MENTOS SLIM BOX 32,1G ICE GRAPE;7895144605333;UN;0;0,01;0;15/12/2016;N;1
MENTOS STICK 37,5G DUO BLACK ICE;7895144603216;UN;0;0,01;0;15/12/2016;N;1
MENTOS STICK 37,5G FRUTAS VERMELHAS;7895144603063;UN;1,09;2;16;15/12/2016;S;1
MENTOS STICK 37,5G MINT;7896262304306;UN;1,09;0,01;16;13/12/2016;S;1
MENTOS STICK 37,5G NOVO RAINBOW;7895144603148;UN;0;0,01;0;15/12/2016;N;1
MENTOS STICK 37,5G STRAWBERRY MIX;7895144293448;UN;0;0,01;0;15/12/2016;N;1
MENTOS STICK 37,5G TUTTI FRUTTI;7895144603223;UN;0;0,01;0;15/12/2016;N;1
MENTOS STICK 37,5G YOGURTE MORANGO;7895144603087;UN;0;0,01;0;15/12/2016;N;1
MILHO VERDE GOIAS VERDE LT 200GR;7898905153258;UN;1,63;0,01;24;14/12/2016;N;1
MIX DIAMANTE NEGRO LAKA 160G;7622300826611;UND;5,19;6,99;0;20/10/2016;S;1
